TV_Budget,Radio_Budget,SocialMedia_Budget,Is_Holiday,Sales,Region_EU,Region_LatAm
143.46,80.29,119.87336369400884,1,876.54,0,0
290.6,62.12,57.79,0,1293.66,0,0
291.74,47.24,110.73,0,1239.93,0,0
181.45,74.45,66.24,0,948.83,0,0
71.34,94.62,139.25,0,627.14,0,0
147.05,29.1,192.84,1,625.86,0,1
129.12,17.37,50.01,0,569.1,0,1
104.13,61.94,119.87336369400884,0,645.81,0,0
177.4,120.74,152.84,0,1051.97,0,0
135.22,75.66599493375894,74.01,0,590.66,0,1
63.68,17.72,76.35,0,356.34,1,0
283.46,85.63,60.06,0,1350.13,0,0
103.79,69.62,177.89,0,741.73,1,0
150.2206197600939,29.58,91.58,1,443.41,0,0
41.36,42.03,247.38,0,584.66,0,0
121.61,40.82,119.5,0,630.68,0,0
53.34,28.56,76.77,0,318.06,0,0
69.59,45.95,119.87336369400884,0,427.85,0,0
190.35,92.96,112.08,0,891.7,0,0
154.07,30.07,106.5,0,691.45,0,0
150.2206197600939,90.71,195.04,1,832.78,0,0
266.19,66.22,34.0,0,1196.04,1,0
195.58,129.72,148.45,0,1125.58,0,0
166.26,75.66599493375894,157.39,0,573.5,0,0
55.15,98.26,101.31,0,695.39,0,0
183.06,48.29,174.02,0,751.47,0,1
153.06,37.17,42.29,0,743.17,0,1
142.91,144.26,97.55,0,1055.32,0,0
143.21,114.86,124.7,0,947.42,1,0
24.39,143.37,222.5,0,1030.02,0,0
151.14,91.54,248.49,1,1006.46,0,0
192.5,96.71,220.05,0,1028.13,0,1
154.48,56.38,13.7,0,773.01,0,1
180.76,57.99,194.49,0,808.66,0,0
248.32,64.94,78.51,0,1136.34,0,0
77.53,86.8,130.56,0,621.81,1,0
102.03,110.23,160.42,0,899.84,1,0
95.01,116.98,137.69,0,895.55,0,0
273.24,89.81,92.21,0,1317.6,0,0
92.11,21.75,51.54,0,336.05,0,0
107.68,75.66599493375894,225.93,0,846.15,0,0
52.3,128.67,221.0,0,983.39,0,1
232.05,97.41,46.01,0,1204.73,0,0
79.42,126.04,226.93,0,1029.34,1,0
201.32,78.96,123.26,1,1074.38,0,1
122.65,63.6,81.0,0,722.51,0,1
224.65,76.33,123.44,0,1111.83,0,1
298.4938,79.87,131.19,0,1161.25,0,1
230.06,91.92,49.33,0,1189.92,0,0
245.34,75.66599493375894,12.35,0,1033.37,0,0
273.84,77.3,61.38,0,1275.72,1,0
201.68,97.86,103.07,0,1104.54,1,0
94.73,88.41,122.49,0,692.7,0,1
101.39,17.0,143.75,0,442.33,0,1
160.03,82.98,129.36,0,844.96,0,0
73.42,23.37,26.37,0,370.33,0,1
104.88,24.35,88.2,0,504.38,1,0
80.12,95.71,23.75,0,622.82,1,0
104.13,59.54,164.67,0,681.09,0,0
28.51,75.66599493375894,119.87336369400884,0,851.65,0,0
207.09,63.86,93.33,0,994.2,1,0
150.2206197600939,49.59,115.42,0,442.66,1,0
224.37,59.79,63.17,0,1047.78,0,0
195.68,54.5,157.38,0,778.03,0,0
123.82,75.66599493375894,81.92,0,599.56,1,0
103.95,97.3,147.59,0,730.73,0,1
150.2206197600939,28.09,36.66,1,373.35,0,0
150.2206197600939,85.78,176.1,0,683.09,1,0
125.0,94.21,108.16,1,859.61,0,1
234.33,53.78,67.23,0,1069.99,1,0
199.34,130.32,119.87336369400884,1,1200.54,0,0
104.26,37.94,119.87336369400884,1,595.82,0,0
202.23,95.81,140.66,1,1120.82,0,0
168.44,135.83,119.87336369400884,0,1116.88,0,0
207.08,81.69,62.19,0,1073.2,0,0
124.58,81.81,11.28,0,759.38,0,0
285.54,75.66599493375894,97.77,1,1324.48,0,0
57.55,51.13,67.84,0,412.17,0,1
290.81,51.28,72.63,0,1236.48,0,1
176.45,93.48,105.84,1,1003.65,0,1
103.35,31.98,180.26,0,565.02,1,0
88.54,59.31,98.25,1,598.17,0,0
205.38,89.37,17.67,0,1064.16,0,0
130.13,30.87,225.78,0,649.26,0,0
59.53,28.45,98.85,1,400.63,0,0
129.8,70.69,72.94,0,648.61,1,0
109.6,72.24,103.63,0,672.31,1,0
181.44,82.35,132.79,1,985.24,0,1
150.2206197600939,67.6,142.33,0,645.56,0,0
298.4938,30.5,21.04,0,473.62,0,0
196.22,103.65,79.11,0,913.88,0,1
162.45,116.48,161.01,0,1034.03,0,0
101.61,95.47,145.79,0,726.72,0,1
298.4938,24.07,74.05,0,991.88,0,0
158.81,33.93,92.03,0,726.01,1,0
50.38,47.88,188.59,0,547.48,0,1
166.45,35.09,248.7223,0,761.11,0,0
120.73,88.18,193.61,0,852.66,0,0
141.53,61.61,245.76,1,848.28,0,0
132.86,91.43,179.67,0,881.0,0,1
189.57,41.69,78.79,1,881.83,0,0
122.68,76.06,238.79,1,887.61,0,0
107.29,145.27,115.64,0,1024.73,0,0
75.83,72.75,119.87336369400884,0,632.0,0,1
64.68,97.89,59.78,0,629.43,1,0
85.25,86.54,199.47,0,808.39,0,1
39.68,88.62,196.6,0,748.69,0,1
104.72,54.89,112.67,0,585.64,0,0
150.2206197600939,22.06,246.3,0,515.58,0,0
161.74,41.48,174.81,0,664.72,0,1
150.2206197600939,85.42,149.38,0,1252.2,0,0
150.2206197600939,15.32,11.27,0,1122.77,0,0
96.08,80.22,146.14,0,740.65,0,0
94.0,103.69,57.21,1,745.74,0,0
72.41,22.66,107.89,1,424.36,0,0
144.98,75.66599493375894,49.45,0,888.52,0,1
171.26,38.39,82.17,1,591.56,1,0
91.55,21.88,127.49,1,445.82,0,0
81.72,81.54,118.04,0,626.68,0,1
97.75,79.65,102.29,0,682.72,0,1
224.73,62.55,142.94,0,1084.94,1,0
33.72,48.78,70.59,0,397.7,0,0
159.94,58.34,48.31,1,862.11,0,1
150.2206197600939,91.47,132.26,0,1260.28,0,1
149.85,54.3,208.83,0,767.71,0,1
142.22,75.66599493375894,119.87336369400884,0,1127.86,0,0
162.84,53.8,75.86,0,810.75,0,0
113.49,95.95,125.57,0,788.59,1,0
159.54,71.36,35.05,1,897.85,0,0
222.33,45.03,74.81,1,1005.64,0,0
168.08,96.69,25.26,0,979.55,0,0
124.05,144.88,157.18,0,1101.1,0,0
150.2206197600939,64.9,90.13,0,581.71,0,0
26.23,70.91,216.27,1,679.79,0,1
130.38,92.91,31.29,0,802.05,1,0
190.84,58.61,28.06,0,917.72,0,0
79.46,74.23,119.87336369400884,0,601.0,0,1
130.03,49.11,143.76,0,699.2,0,0
238.18,29.38,133.15,0,978.87,0,0
215.09,61.71,119.72,0,1031.9,0,0
117.18,142.46,248.7223,0,1108.97,0,0
153.36,120.1,119.87336369400884,0,1028.74,0,1
61.96,77.64,92.81,0,595.75,0,1
177.55,117.84,107.26,0,985.49,0,1
188.25,65.05,115.49,0,957.67,0,0
53.21,62.8,86.44,0,442.73,0,0
102.51,66.73,144.64,0,661.56,1,0
150.2206197600939,33.92,149.37,1,579.4,1,0
53.74,66.69,139.85,0,601.61,0,1
98.29,22.82,128.29,1,488.55,0,1
147.54,58.81,128.53,1,725.13,0,0
120.44,55.49,47.98,1,680.14,0,1
103.54,21.82,42.52,0,479.9,1,0
150.2206197600939,35.46,192.71,1,714.12,1,0
148.57,49.69,100.17,0,754.16,1,0
88.05,132.62,105.77,0,921.54,0,0
191.76,74.47,11.76,0,979.73,0,0
117.67,80.69,23.19,1,782.68,0,1
197.61,36.81,163.6,1,721.45,0,0
128.96,142.76,130.62,1,1099.37,0,0
298.41,75.14,134.37,0,1381.2,0,0
38.72,79.59,220.79,0,731.54,0,0
175.86,22.43,88.94,1,517.77,1,0
174.67,85.6,121.18,0,941.9,1,0
50.24,86.25,87.36,0,617.98,0,0
253.05,71.97,22.31,0,1180.33,0,0
267.39,31.77,130.4,0,1064.15,0,0
191.1,140.76,50.3,0,1061.49,0,1
80.32,133.47,99.63,0,902.64,0,1
72.53,141.0,202.52,1,1073.68,0,0
198.02,29.47,194.22,0,701.56,0,0
89.39,44.06,149.19,0,550.43,0,0
259.52,95.26,89.31,0,1299.93,0,1
174.99,31.15,119.87336369400884,0,767.17,0,0
73.8,29.94,19.39,0,409.9,0,0
278.61,84.05,73.35,0,1337.78,1,0
186.56,137.34,240.09,0,1266.82,0,0
98.85,95.02,99.15,0,742.95,0,0
177.97,151.22609405554186,96.97,1,1036.46,0,1
98.64,29.2,99.4,0,510.22,0,0
97.14,75.29,162.65,0,724.53,0,0
49.73,109.02,213.93,0,885.0,0,1
76.86,33.27,61.79,0,459.29,0,1
150.2206197600939,77.82,128.07,0,805.62,1,0
95.75,38.19,131.17,1,546.62,0,0
283.02,91.91,29.98,0,1366.51,0,0
72.49,127.41,222.2,0,1019.49,0,1
108.68,123.91,107.52,1,953.13,1,0
177.39,88.21,182.03,0,945.33,0,0
143.04,19.19,119.87336369400884,0,630.36,0,1
41.35,68.14,181.7,0,651.59,0,0
68.71,41.92,75.54,0,448.98,0,0
220.59,75.66599493375894,100.59,0,927.47,0,0
180.35,146.43,119.87336369400884,0,1273.46,0,0
158.83,35.47,119.87336369400884,1,765.64,0,1
282.39,13.63,111.64,0,1101.31,0,0
149.68,45.99,141.37,0,750.44,0,1
270.16,49.78,119.87336369400884,0,1157.41,0,1
256.47,75.66599493375894,84.75,0,1287.71,0,0
100.7,106.73,104.37,0,833.34,0,1
126.03,64.24,245.0,0,824.49,0,0
174.34,23.67,166.77,0,608.4,0,0
58.87,75.66599493375894,149.42,0,472.36,0,0
141.3,70.8,39.09,0,786.94,0,0
28.49,79.82,169.22,0,667.79,1,0
166.5,105.85,98.86,0,894.64,0,0
143.83,54.81,112.54,0,636.71,0,0
132.75,78.98,16.28,0,786.76,0,0
181.37,71.23,110.37,0,943.9,0,0
141.92,45.24,65.65,0,692.56,0,0
222.2,40.69,52.51,1,990.28,0,0
191.89,75.66599493375894,128.65,1,1019.52,1,0
215.8,35.97,79.45,0,928.99,0,1
98.64,92.22,106.0,1,758.44,0,0
232.52,70.47,23.31,0,1093.37,0,0
172.57,122.76,134.43,0,1047.22,1,0
95.92,96.18,13.48,0,720.95,0,1
98.55,124.01,196.31,0,1001.34,1,0
133.92,72.57,142.53,0,771.69,0,0
152.89,46.5,68.36,0,741.99,1,0
179.85,90.47,126.87,0,988.55,0,1
162.06,106.16,123.34,0,933.6,0,0
70.71,128.6,125.79,0,898.63,0,1
150.96,39.53,92.44,0,694.45,1,0
70.34,69.83,150.84,1,690.37,0,0
178.79,58.95,65.09,0,890.33,0,0
140.73,90.15,115.46,0,801.76,0,0
42.58,101.12,153.48,0,768.39,0,0
152.82,97.04,99.8,0,941.77,0,1
205.23,30.77,24.92,0,863.0,0,0
146.63,75.66599493375894,158.79,0,989.07,0,1
108.71,87.7,248.7223,0,731.65,0,0
150.2206197600939,105.74,241.06,0,933.29,0,0
138.56,88.38,151.11,0,852.17,0,1
182.19,90.19,82.75,1,1011.51,0,0
199.71,44.29,15.82,0,920.16,0,0
168.51,69.32,144.61,0,891.92,0,0
105.64,31.2,70.76,0,524.0,0,1
116.14,138.21,231.34,1,1171.14,1,0
254.16,38.99,48.55,0,1107.48,0,0
169.67,137.28,162.33,0,1158.14,0,0
72.01,75.66599493375894,183.17,0,727.85,0,0
170.64,99.64,219.98,0,998.06,1,0
83.73,48.27,119.87336369400884,0,651.22,0,1
243.55,67.0,36.57,0,1135.17,0,0
123.32,124.9,100.62,0,936.75,0,0
150.2206197600939,50.93,147.37,1,645.68,0,0
205.52,16.63,27.99,0,855.76,0,0
150.2206197600939,99.16,33.79,0,861.76,0,0
44.5,120.9,203.34,0,908.89,1,0
111.15,140.47,244.35,0,1177.93,1,0
138.31,54.67,49.82,0,710.62,0,0
108.26,37.0,207.28,0,618.75,0,0
65.01,141.59,246.85,0,1113.9,0,1
179.48,14.57,140.33,0,721.89,0,0
260.56,73.62,106.39,0,1224.49,0,1
203.88,55.64,57.5,0,960.37,0,0
293.96,74.74,28.75,0,1350.63,0,0
178.92,145.77,195.15,0,1243.03,0,0
268.28,75.66599493375894,35.35,1,1283.9,0,0
256.25,22.75,13.22,0,1038.71,0,1
199.57,74.7,133.67,0,1011.16,0,1
150.2206197600939,46.6,112.15,1,736.91,1,0
155.66,43.77,90.75,1,610.62,0,0
36.8,25.89,245.19,1,512.45,0,0
189.04,52.34,160.18,1,794.02,0,0
285.53,98.25,62.67,0,1390.13,1,0
154.33,42.73,173.01,0,649.21,0,0
192.49,50.88,22.39,0,900.19,0,0
194.29,63.75,103.06,0,954.94,1,0
187.84,151.22609405554186,148.47,0,1059.07,1,0
186.52,79.73,125.03,0,998.74,0,0
124.04,142.19,196.73,1,1149.3,0,0
23.99,87.77,82.66,1,609.48,0,1
166.68,87.79,247.75,0,1009.05,0,0
82.09,71.51,106.59,1,611.85,0,1
80.14,31.84,76.5,0,415.93,1,0
105.52,35.34,159.01,0,543.35,0,0
68.0,75.66599493375894,89.7,1,692.81,0,1
179.3,14.33,64.85,0,764.68,1,0
188.69,81.67,70.02,0,988.15,0,0
34.98,28.37,224.22,0,488.36,0,0
107.48,57.83,236.15,1,776.55,0,1
90.95,50.28,121.84,1,582.91,0,0
105.13,127.92,207.98,1,1065.13,0,1
132.72,47.67,17.74,0,662.31,1,0
47.6,66.3,207.19,0,687.87,0,0
116.8,21.59,110.43,1,574.65,0,1
146.31,58.31,192.62,0,751.49,0,0
100.0,75.66599493375894,231.9,0,587.94,1,0
150.2206197600939,10.66,81.07,0,667.62,0,0
150.2206197600939,75.66599493375894,71.68,0,801.68,0,1
197.59,132.03,119.87336369400884,0,1118.2,1,0
213.02,11.91,74.4,0,850.83,0,0
157.83,34.53,138.35,0,715.1,0,1
178.73,31.67,123.03,0,767.15,0,1
69.27,48.7,66.59,0,462.22,1,0
89.59,92.85,178.36,0,824.18,1,0
218.91,86.96,59.45,0,1120.23,0,0
149.03,142.9,137.82,1,1129.86,0,1
298.4938,64.49,28.71,0,1317.68,1,0
270.44,50.67,125.71,0,1161.2,0,0
253.56,57.84,85.28,0,1145.68,0,0
194.27,48.46,21.39,0,912.74,1,0
117.93,145.0,119.87336369400884,0,1018.35,0,1
242.56,32.55,105.66,0,1007.56,0,0
69.41,93.7,81.04,1,695.3,0,0
97.97,88.99,59.23,0,663.91,0,0
42.11,119.75,200.05,0,892.3,0,0
73.52,54.96,119.87336369400884,0,576.21,0,0
78.41,93.17,74.67,0,657.43,1,0
149.89,52.84,184.31,0,722.26,0,0
275.11,75.21,102.15,0,1247.76,0,1
129.84,63.57,49.91,0,726.16,0,0
154.09,83.64,167.12,0,875.86,1,0
137.49,30.86,64.17,0,636.01,0,0
109.07,29.77,50.08,0,546.03,0,1
196.47,55.23,107.85,0,933.82,0,0
98.1,60.23,154.24,0,649.53,0,0
270.3,83.11,17.76,1,1330.84,0,0
28.39,34.15,104.74,0,357.94,0,1
134.43,125.36,154.45,0,1023.65,0,0
73.82,107.05,217.25,0,917.02,0,0
137.38,22.79,230.3,0,631.51,0,0
249.37,75.66599493375894,17.7,0,1006.08,0,0
76.75,78.06,176.51,0,739.63,0,1
61.12,130.21,61.34,1,847.06,0,1
185.5,97.05,125.06,0,928.08,0,0
20.11,111.04,155.3,1,790.29,0,0
149.9,79.99,33.84,0,859.36,0,0
263.33,42.9,120.01,0,1131.85,1,0
256.91,97.33,144.31,1,1302.88,0,0
64.8,40.96,143.38,0,434.81,0,0
150.2206197600939,139.76,89.68,1,857.5,0,1
168.56,91.5,168.09,1,936.57,0,0
41.95,118.79,122.14,0,813.45,1,0
138.68,80.58,82.05,1,844.2,0,0
192.29,88.68,185.87,0,967.23,0,1
195.71,83.56,15.07,0,1020.86,0,1
150.2206197600939,64.81,176.66,0,830.51,0,0
156.82,21.61,237.51,1,661.09,0,1
198.62,136.95,180.59,0,1206.89,0,0
244.21,82.96,117.91,1,1225.33,0,1
131.27,59.52,93.15,1,750.52,0,0
120.88,99.22,40.12,0,809.65,1,0
49.35,132.02,54.23,0,801.89,1,0
58.17,48.36,63.02,0,426.33,0,0
52.56,76.47,40.85,0,508.88,0,0
225.21,18.25,116.33,0,910.38,0,1
84.54,66.15,138.03,0,588.69,0,0
75.07,24.82,188.73,0,502.17,0,1
214.41,67.15,110.29,0,1040.36,1,0
98.74,75.66599493375894,40.27,0,676.92,1,0
169.97,135.64,166.49,0,1146.69,1,0
91.96,43.73,84.82,0,516.11,0,1
51.08,91.93,141.88,0,524.97,1,0
171.23,17.99,78.06,1,722.98,1,0
164.75,91.2,140.23,0,948.13,1,0
101.88,37.46,70.44,1,555.28,1,0
143.76,142.68,75.59,0,1012.87,0,0
115.39,79.28,88.88,0,738.75,1,0
259.97,69.25,19.26,0,1214.25,1,0
110.8,80.63,121.26,0,727.35,0,0
241.51,83.04,116.73,0,1197.62,0,0
132.77,16.73,103.92,0,567.69,0,1
174.26,76.86,100.39,0,925.94,0,0
29.86,143.7,230.99,1,1057.59,1,0
190.85,67.41,217.7,0,890.38,1,0
148.62,101.47,70.95,0,837.95,1,0
198.72,55.26,198.35,1,852.63,0,1
200.35,87.62,51.55,0,1055.11,1,0
115.17,77.2,175.61,0,772.02,0,0
172.9,63.51,168.24,1,808.28,0,0
152.51,41.84,32.73,0,725.76,0,1
124.09,101.44,205.11,0,954.78,0,0
150.2206197600939,20.67,25.33,0,371.58,1,0
162.1,54.62,96.28,0,805.88,1,0
181.52,64.24,85.53,1,725.1,1,0
192.6,47.9,122.77,0,693.4,0,0
104.56,68.6,209.18,1,789.27,0,0
72.56,100.51,119.87336369400884,0,897.74,0,1
