Region,TV_Budget,Radio_Budget,SocialMedia_Budget,Is_Holiday,Sales
Asia,141.43,99.16,72.33,0,918.62
LatAm,204.53,68.69,90.3,0,1021.53
NA,87.38,97.53,75.02,0,715.4
EU,83.13,67.51,74.33,0,591.4
EU,87.4,63.87,30.79,0,600.74
LatAm,25.62,101.9,104.92,0,685.37
EU,,,177.34,0,927.5
NA,63.94,,198.88,0,595.33
EU,22.85,83.79,65.59,0,549.67
Asia,32.46,29.27,242.02,0,504.72
Asia,154.07,92.78,19.78,0,934.85
NA,29.42,82.73,161.05,0,653.95
Asia,150.56,41.38,173.48,0,659.0
LatAm,66.01,104.1,144.87,0,807.49
EU,226.65,78.15,,0,1140.82
NA,298.0,72.53,88.46,0,1346.93
LatAm,185.61,62.5,54.09,1,946.53
EU,214.9,23.08,54.03,0,862.83
LatAm,86.76,15.75,63.02,0,404.77
NA,145.82,26.6,35.78,0,659.22
NA,139.56,70.72,19.95,0,766.07
LatAm,122.22,75.76,148.69,0,759.25
EU,86.15,56.34,124.85,0,537.79
Asia,107.63,91.34,73.22,1,766.24
Asia,246.93,28.85,50.91,0,1038.3
LatAm,66.93,55.82,99.75,0,489.03
NA,75.25,81.06,55.37,0,599.78
EU,209.64,77.28,133.81,0,1067.27
EU,61.07,65.45,102.18,1,580.53
NA,201.1,82.91,47.41,0,1065.42
Asia,268.91,14.56,123.35,0,1037.92
EU,213.95,91.64,133.09,1,1132.03
LatAm,1088.6394534935184,71.74,157.51,1,653.24
Asia,290.17,68.35,12.01,0,1305.82
LatAm,,23.7,248.21,1,650.87
Asia,234.82,86.32,148.03,1,1201.16
NA,89.38,71.95,153.07,0,691.78
LatAm,74.27,75.12,154.53,0,692.77
LatAm,66.3,67.58,142.64,0,649.4
NA,181.95,100.56,208.84,0,1029.6
LatAm,188.57,57.32,52.85,0,904.07
Asia,1293.8027818721596,34.61,130.3,0,1165.18
EU,138.77,84.58,139.08,0,851.15
EU,295.89,98.19,46.22,0,1450.59
NA,210.48,77.49,29.59,0,1053.58
Asia,189.93,72.42,158.46,1,876.15
LatAm,215.67,94.86,18.57,0,1134.28
LatAm,130.04,106.87,101.82,0,856.55
EU,150.42,60.76,97.13,0,666.22
LatAm,119.47,59.2,106.8,0,683.5
EU,276.63,81.15,17.6,0,1284.39
NA,127.47,30.46,63.9,0,456.17
LatAm,34.95,73.6,235.4,0,733.15
Asia,58.47,43.23,21.57,0,403.45
LatAm,291.34,485.17558873364015,55.83,0,1210.47
EU,78.34,101.18,194.35,0,839.56
NA,115.43,64.34,242.44,0,810.13
EU,275.07,62.85,47.71,0,1251.98
LatAm,120.4,71.11,146.59,0,713.52
EU,198.67,22.91,125.73,0,586.02
EU,86.21,62.91,239.58,0,723.12
NA,151.13,84.38,59.98,0,727.76
Asia,,86.44,115.76,0,609.04
LatAm,172.87,21.58,57.3,0,757.74
NA,119.78,148.84,218.6,1,1210.2
Asia,239.38,81.78,,0,1141.68
EU,184.61,83.61,218.55,1,984.24
Asia,46.73,27.58,222.75,1,528.93
EU,60.77,12.25,141.38,0,306.04
EU,72.39,116.71,120.35,1,838.34
NA,256.68,75.57,137.45,0,1208.08
EU,112.77,113.52,234.66,1,1049.22
NA,129.36,72.87,59.22,0,646.76
Asia,120.9,137.06,140.39,1,1064.22
Asia,134.6,108.26,121.19,0,904.08
EU,189.77,126.68,63.77,0,995.2
NA,25.03,368.04191914058515,71.21,0,802.74
EU,276.29,78.79,63.53,1,1310.35
NA,97.23,41.25,20.87,1,585.91
NA,,66.9,68.39,0,1164.64
NA,171.9,140.15,121.09,0,1113.71
Asia,51.06,38.32,171.27,1,530.22
NA,190.0,94.46,204.63,0,1009.96
Asia,211.06,95.81,25.66,0,1158.33
NA,82.6,109.97,120.93,0,828.45
Asia,133.78,83.14,98.87,0,783.67
LatAm,282.57,42.89,105.36,0,1181.62
Asia,168.25,96.78,102.77,1,1036.05
Asia,49.19,116.76,238.08,0,959.96
EU,214.89,77.5,105.79,0,1066.94
NA,167.49,64.21,54.75,0,854.43
LatAm,119.03,96.8,209.08,0,914.08
EU,145.83,106.22,246.6,0,1061.39
NA,123.16,,119.86,0,581.19
LatAm,104.5,66.95,104.1,0,649.43
LatAm,199.74,95.47,226.7,0,1066.88
LatAm,95.56,71.69,54.02,0,574.48
NA,171.84,24.68,86.84,0,741.01
LatAm,20.62,55.52,200.55,1,600.33
LatAm,106.97,78.59,133.59,0,700.64
EU,175.92,29.54,243.2,0,736.72
Asia,134.77,70.27,222.87,1,855.26
NA,,,38.58,0,739.52
Asia,78.76,125.08,123.83,0,887.61
EU,155.74,92.58,92.42,1,945.82
Asia,,48.14,93.48,0,395.69
LatAm,173.41,21.07,169.33,0,592.89
LatAm,79.69,23.94,203.27,0,499.94
NA,196.99,73.52,133.98,0,983.76
NA,74.83,125.77,170.03,0,941.06
NA,166.07,121.32,206.63,1,1128.38
EU,80.49,76.19,134.23,0,666.91
NA,128.8,41.41,31.08,0,625.7
EU,62.13,80.2,53.12,0,530.07
LatAm,37.96,55.47,220.97,1,624.36
Asia,64.24,141.39,136.71,1,1003.88
LatAm,132.06,48.71,,1,643.06
LatAm,90.56,24.47,36.22,1,485.15
LatAm,118.87,58.69,95.33,0,697.04
NA,82.56,88.6,70.15,1,675.03
NA,36.88,65.09,109.25,0,526.52
NA,25.27,28.53,241.88,0,496.68
Asia,256.7,41.59,74.96,1,1090.75
NA,130.54,56.36,128.97,0,663.13
EU,123.23,89.36,60.78,0,788.29
LatAm,32.77,62.85,82.2,0,498.61
Asia,244.26,20.25,18.86,0,975.3
Asia,142.63,37.55,90.73,1,686.98
Asia,56.23,,135.46,0,432.96
Asia,122.61,12.78,102.24,0,529.4
Asia,232.81,55.83,139.42,0,1029.33
EU,184.39,60.83,126.87,1,764.19
LatAm,236.26,89.0,88.56,0,1186.89
Asia,91.82,43.93,148.26,0,555.07
LatAm,106.58,20.37,142.83,0,485.79
NA,192.68,,17.07,0,1015.59
Asia,278.98,,100.43,1,1201.5
Asia,51.54,42.99,,1,432.06
LatAm,134.7,63.23,11.62,0,730.34
Asia,,75.66,147.32,0,777.52
Asia,54.11,94.48,66.6,0,585.59
Asia,136.02,112.38,145.19,1,958.14
EU,,109.51,87.79,0,780.3
EU,139.72,24.85,98.43,1,511.64
Asia,137.81,36.28,182.61,0,621.89
EU,97.39,26.63,147.72,0,447.8
NA,120.0,87.45,,1,789.48
Asia,184.64,76.97,186.16,0,911.09
NA,100.13,56.28,59.69,1,647.26
LatAm,164.03,60.52,58.64,1,657.13
NA,153.87,58.84,561.5483488648182,0,613.18
LatAm,1254.014518456764,117.35,155.87,0,963.39
Asia,123.51,58.46,224.32,0,767.17
LatAm,183.11,99.57,55.17,0,1006.69
LatAm,254.91,78.9,139.41,0,1228.24
NA,146.22,60.94,115.36,1,698.55
NA,234.98,17.64,124.82,0,901.12
NA,107.72,98.32,121.93,0,782.04
Asia,143.46,80.29,,1,876.54
Asia,290.6,62.12,57.79,0,1293.66
NA,291.74,47.24,110.73,0,1239.93
Asia,181.45,74.45,66.24,0,948.83
Asia,71.34,94.62,139.25,0,627.14
LatAm,147.05,29.1,192.84,1,625.86
LatAm,129.12,17.37,50.01,0,569.1
NA,104.13,61.94,,0,645.81
Asia,177.4,120.74,152.84,0,1051.97
LatAm,135.22,,74.01,0,590.66
EU,63.68,17.72,76.35,0,356.34
Asia,283.46,85.63,60.06,0,1350.13
EU,103.79,69.62,177.89,0,741.73
NA,,29.58,91.58,1,443.41
Asia,41.36,42.03,247.38,0,584.66
NA,121.61,40.82,119.5,0,630.68
NA,53.34,28.56,76.77,0,318.06
NA,69.59,45.95,,0,427.85
NA,190.35,92.96,112.08,0,891.7
NA,154.07,30.07,106.5,0,691.45
Asia,,90.71,195.04,1,832.78
EU,266.19,66.22,34.0,0,1196.04
Asia,195.58,129.72,148.45,0,1125.58
Asia,166.26,,157.39,0,573.5
Asia,55.15,98.26,101.31,0,695.39
LatAm,183.06,48.29,174.02,0,751.47
LatAm,153.06,37.17,42.29,0,743.17
Asia,142.91,144.26,97.55,0,1055.32
EU,143.21,114.86,124.7,0,947.42
Asia,24.39,143.37,222.5,0,1030.02
NA,151.14,91.54,248.49,1,1006.46
LatAm,192.5,96.71,220.05,0,1028.13
LatAm,154.48,56.38,13.7,0,773.01
Asia,180.76,57.99,194.49,0,808.66
Asia,248.32,64.94,78.51,0,1136.34
EU,77.53,86.8,130.56,0,621.81
EU,102.03,110.23,160.42,0,899.84
NA,95.01,116.98,137.69,0,895.55
Asia,273.24,89.81,92.21,0,1317.6
Asia,92.11,21.75,51.54,0,336.05
Asia,107.68,,225.93,0,846.15
LatAm,52.3,128.67,221.0,0,983.39
NA,232.05,97.41,46.01,0,1204.73
EU,79.42,126.04,226.93,0,1029.34
LatAm,201.32,78.96,123.26,1,1074.38
LatAm,122.65,63.6,81.0,0,722.51
LatAm,224.65,76.33,123.44,0,1111.83
LatAm,721.1820099369777,79.87,131.19,0,1161.25
NA,230.06,91.92,49.33,0,1189.92
Asia,245.34,,12.35,0,1033.37
EU,273.84,77.3,61.38,0,1275.72
EU,201.68,97.86,103.07,0,1104.54
LatAm,94.73,88.41,122.49,0,692.7
LatAm,101.39,17.0,143.75,0,442.33
NA,160.03,82.98,129.36,0,844.96
LatAm,73.42,23.37,26.37,0,370.33
EU,104.88,24.35,88.2,0,504.38
EU,80.12,95.71,23.75,0,622.82
Asia,104.13,59.54,164.67,0,681.09
Asia,28.51,,,0,851.65
EU,207.09,63.86,93.33,0,994.2
EU,,49.59,115.42,0,442.66
NA,224.37,59.79,63.17,0,1047.78
NA,195.68,54.5,157.38,0,778.03
EU,123.82,,81.92,0,599.56
LatAm,103.95,97.3,147.59,0,730.73
Asia,,28.09,36.66,1,373.35
EU,,85.78,176.1,0,683.09
LatAm,125.0,94.21,108.16,1,859.61
EU,234.33,53.78,67.23,0,1069.99
Asia,199.34,130.32,,1,1200.54
Asia,104.26,37.94,,1,595.82
NA,202.23,95.81,140.66,1,1120.82
NA,168.44,135.83,,0,1116.88
NA,207.08,81.69,62.19,0,1073.2
NA,124.58,81.81,11.28,0,759.38
Asia,285.54,,97.77,1,1324.48
LatAm,57.55,51.13,67.84,0,412.17
LatAm,290.81,51.28,72.63,0,1236.48
LatAm,176.45,93.48,105.84,1,1003.65
EU,103.35,31.98,180.26,0,565.02
NA,88.54,59.31,98.25,1,598.17
NA,205.38,89.37,17.67,0,1064.16
Asia,130.13,30.87,225.78,0,649.26
Asia,59.53,28.45,98.85,1,400.63
EU,129.8,70.69,72.94,0,648.61
EU,109.6,72.24,103.63,0,672.31
LatAm,181.44,82.35,132.79,1,985.24
Asia,,67.6,142.33,0,645.56
NA,717.0948217147956,30.5,21.04,0,473.62
LatAm,196.22,103.65,79.11,0,913.88
NA,162.45,116.48,161.01,0,1034.03
LatAm,101.61,95.47,145.79,0,726.72
NA,821.6158928467523,24.07,74.05,0,991.88
EU,158.81,33.93,92.03,0,726.01
LatAm,50.38,47.88,188.59,0,547.48
NA,166.45,35.09,805.5175080778375,0,761.11
NA,120.73,88.18,193.61,0,852.66
Asia,141.53,61.61,245.76,1,848.28
LatAm,132.86,91.43,179.67,0,881.0
NA,189.57,41.69,78.79,1,881.83
Asia,122.68,76.06,238.79,1,887.61
NA,107.29,145.27,115.64,0,1024.73
LatAm,75.83,72.75,,0,632.0
EU,64.68,97.89,59.78,0,629.43
LatAm,85.25,86.54,199.47,0,808.39
LatAm,39.68,88.62,196.6,0,748.69
NA,104.72,54.89,112.67,0,585.64
NA,,22.06,246.3,0,515.58
LatAm,161.74,41.48,174.81,0,664.72
Asia,,85.42,149.38,0,1252.2
Asia,,15.32,11.27,0,1122.77
Asia,96.08,80.22,146.14,0,740.65
NA,94.0,103.69,57.21,1,745.74
NA,72.41,22.66,107.89,1,424.36
LatAm,144.98,,49.45,0,888.52
EU,171.26,38.39,82.17,1,591.56
NA,91.55,21.88,127.49,1,445.82
LatAm,81.72,81.54,118.04,0,626.68
LatAm,97.75,79.65,102.29,0,682.72
EU,224.73,62.55,142.94,0,1084.94
Asia,33.72,48.78,70.59,0,397.7
LatAm,159.94,58.34,48.31,1,862.11
LatAm,,91.47,132.26,0,1260.28
LatAm,149.85,54.3,208.83,0,767.71
Asia,142.22,,,0,1127.86
Asia,162.84,53.8,75.86,0,810.75
EU,113.49,95.95,125.57,0,788.59
NA,159.54,71.36,35.05,1,897.85
Asia,222.33,45.03,74.81,1,1005.64
NA,168.08,96.69,25.26,0,979.55
NA,124.05,144.88,157.18,0,1101.1
Asia,,64.9,90.13,0,581.71
LatAm,26.23,70.91,216.27,1,679.79
EU,130.38,92.91,31.29,0,802.05
NA,190.84,58.61,28.06,0,917.72
LatAm,79.46,74.23,,0,601.0
Asia,130.03,49.11,143.76,0,699.2
NA,238.18,29.38,133.15,0,978.87
NA,215.09,61.71,119.72,0,1031.9
NA,117.18,142.46,1128.7942355831303,0,1108.97
LatAm,153.36,120.1,,0,1028.74
LatAm,61.96,77.64,92.81,0,595.75
LatAm,177.55,117.84,107.26,0,985.49
NA,188.25,65.05,115.49,0,957.67
NA,53.21,62.8,86.44,0,442.73
EU,102.51,66.73,144.64,0,661.56
EU,,33.92,149.37,1,579.4
LatAm,53.74,66.69,139.85,0,601.61
LatAm,98.29,22.82,128.29,1,488.55
Asia,147.54,58.81,128.53,1,725.13
LatAm,120.44,55.49,47.98,1,680.14
EU,103.54,21.82,42.52,0,479.9
EU,,35.46,192.71,1,714.12
EU,148.57,49.69,100.17,0,754.16
NA,88.05,132.62,105.77,0,921.54
NA,191.76,74.47,11.76,0,979.73
LatAm,117.67,80.69,23.19,1,782.68
Asia,197.61,36.81,163.6,1,721.45
Asia,128.96,142.76,130.62,1,1099.37
Asia,298.41,75.14,134.37,0,1381.2
NA,38.72,79.59,220.79,0,731.54
EU,175.86,22.43,88.94,1,517.77
EU,174.67,85.6,121.18,0,941.9
NA,50.24,86.25,87.36,0,617.98
Asia,253.05,71.97,22.31,0,1180.33
Asia,267.39,31.77,130.4,0,1064.15
LatAm,191.1,140.76,50.3,0,1061.49
LatAm,80.32,133.47,99.63,0,902.64
Asia,72.53,141.0,202.52,1,1073.68
NA,198.02,29.47,194.22,0,701.56
Asia,89.39,44.06,149.19,0,550.43
LatAm,259.52,95.26,89.31,0,1299.93
Asia,174.99,31.15,,0,767.17
NA,73.8,29.94,19.39,0,409.9
EU,278.61,84.05,73.35,0,1337.78
NA,186.56,137.34,240.09,0,1266.82
NA,98.85,95.02,99.15,0,742.95
LatAm,177.97,607.3559254886212,96.97,1,1036.46
NA,98.64,29.2,99.4,0,510.22
NA,97.14,75.29,162.65,0,724.53
LatAm,49.73,109.02,213.93,0,885.0
LatAm,76.86,33.27,61.79,0,459.29
EU,,77.82,128.07,0,805.62
Asia,95.75,38.19,131.17,1,546.62
NA,283.02,91.91,29.98,0,1366.51
LatAm,72.49,127.41,222.2,0,1019.49
EU,108.68,123.91,107.52,1,953.13
Asia,177.39,88.21,182.03,0,945.33
LatAm,143.04,19.19,,0,630.36
Asia,41.35,68.14,181.7,0,651.59
Asia,68.71,41.92,75.54,0,448.98
NA,220.59,,100.59,0,927.47
NA,180.35,146.43,,0,1273.46
LatAm,158.83,35.47,,1,765.64
Asia,282.39,13.63,111.64,0,1101.31
LatAm,149.68,45.99,141.37,0,750.44
LatAm,270.16,49.78,,0,1157.41
Asia,256.47,,84.75,0,1287.71
LatAm,100.7,106.73,104.37,0,833.34
Asia,126.03,64.24,245.0,0,824.49
Asia,174.34,23.67,166.77,0,608.4
Asia,58.87,,149.42,0,472.36
Asia,141.3,70.8,39.09,0,786.94
EU,28.49,79.82,169.22,0,667.79
Asia,166.5,105.85,98.86,0,894.64
NA,143.83,54.81,112.54,0,636.71
NA,132.75,78.98,16.28,0,786.76
NA,181.37,71.23,110.37,0,943.9
Asia,141.92,45.24,65.65,0,692.56
NA,222.2,40.69,52.51,1,990.28
EU,191.89,,128.65,1,1019.52
LatAm,215.8,35.97,79.45,0,928.99
Asia,98.64,92.22,106.0,1,758.44
NA,232.52,70.47,23.31,0,1093.37
EU,172.57,122.76,134.43,0,1047.22
LatAm,95.92,96.18,13.48,0,720.95
EU,98.55,124.01,196.31,0,1001.34
NA,133.92,72.57,142.53,0,771.69
EU,152.89,46.5,68.36,0,741.99
LatAm,179.85,90.47,126.87,0,988.55
NA,162.06,106.16,123.34,0,933.6
LatAm,70.71,128.6,125.79,0,898.63
EU,150.96,39.53,92.44,0,694.45
Asia,70.34,69.83,150.84,1,690.37
Asia,178.79,58.95,65.09,0,890.33
Asia,140.73,90.15,115.46,0,801.76
Asia,42.58,101.12,153.48,0,768.39
LatAm,152.82,97.04,99.8,0,941.77
Asia,205.23,30.77,24.92,0,863.0
LatAm,146.63,,158.79,0,989.07
NA,108.71,87.7,1130.9247716047676,0,731.65
Asia,,105.74,241.06,0,933.29
LatAm,138.56,88.38,151.11,0,852.17
Asia,182.19,90.19,82.75,1,1011.51
Asia,199.71,44.29,15.82,0,920.16
Asia,168.51,69.32,144.61,0,891.92
LatAm,105.64,31.2,70.76,0,524.0
EU,116.14,138.21,231.34,1,1171.14
Asia,254.16,38.99,48.55,0,1107.48
Asia,169.67,137.28,162.33,0,1158.14
NA,72.01,,183.17,0,727.85
EU,170.64,99.64,219.98,0,998.06
LatAm,83.73,48.27,,0,651.22
NA,243.55,67.0,36.57,0,1135.17
Asia,123.32,124.9,100.62,0,936.75
NA,,50.93,147.37,1,645.68
NA,205.52,16.63,27.99,0,855.76
Asia,,99.16,33.79,0,861.76
EU,44.5,120.9,203.34,0,908.89
EU,111.15,140.47,244.35,0,1177.93
NA,138.31,54.67,49.82,0,710.62
Asia,108.26,37.0,207.28,0,618.75
LatAm,65.01,141.59,246.85,0,1113.9
NA,179.48,14.57,140.33,0,721.89
LatAm,260.56,73.62,106.39,0,1224.49
NA,203.88,55.64,57.5,0,960.37
NA,293.96,74.74,28.75,0,1350.63
Asia,178.92,145.77,195.15,0,1243.03
Asia,268.28,,35.35,1,1283.9
LatAm,256.25,22.75,13.22,0,1038.71
LatAm,199.57,74.7,133.67,0,1011.16
EU,,46.6,112.15,1,736.91
Asia,155.66,43.77,90.75,1,610.62
NA,36.8,25.89,245.19,1,512.45
NA,189.04,52.34,160.18,1,794.02
EU,285.53,98.25,62.67,0,1390.13
Asia,154.33,42.73,173.01,0,649.21
NA,192.49,50.88,22.39,0,900.19
EU,194.29,63.75,103.06,0,954.94
EU,187.84,531.6144432415217,148.47,0,1059.07
NA,186.52,79.73,125.03,0,998.74
NA,124.04,142.19,196.73,1,1149.3
LatAm,23.99,87.77,82.66,1,609.48
Asia,166.68,87.79,247.75,0,1009.05
LatAm,82.09,71.51,106.59,1,611.85
EU,80.14,31.84,76.5,0,415.93
NA,105.52,35.34,159.01,0,543.35
LatAm,68.0,,89.7,1,692.81
EU,179.3,14.33,64.85,0,764.68
Asia,188.69,81.67,70.02,0,988.15
NA,34.98,28.37,224.22,0,488.36
LatAm,107.48,57.83,236.15,1,776.55
Asia,90.95,50.28,121.84,1,582.91
LatAm,105.13,127.92,207.98,1,1065.13
EU,132.72,47.67,17.74,0,662.31
Asia,47.6,66.3,207.19,0,687.87
LatAm,116.8,21.59,110.43,1,574.65
Asia,146.31,58.31,192.62,0,751.49
EU,100.0,,231.9,0,587.94
Asia,,10.66,81.07,0,667.62
LatAm,,,71.68,0,801.68
EU,197.59,132.03,,0,1118.2
NA,213.02,11.91,74.4,0,850.83
LatAm,157.83,34.53,138.35,0,715.1
LatAm,178.73,31.67,123.03,0,767.15
EU,69.27,48.7,66.59,0,462.22
EU,89.59,92.85,178.36,0,824.18
NA,218.91,86.96,59.45,0,1120.23
LatAm,149.03,142.9,137.82,1,1129.86
EU,299.86,64.49,28.71,0,1317.68
NA,270.44,50.67,125.71,0,1161.2
NA,253.56,57.84,85.28,0,1145.68
EU,194.27,48.46,21.39,0,912.74
LatAm,117.93,145.0,,0,1018.35
Asia,242.56,32.55,105.66,0,1007.56
Asia,69.41,93.7,81.04,1,695.3
NA,97.97,88.99,59.23,0,663.91
Asia,42.11,119.75,200.05,0,892.3
Asia,73.52,54.96,,0,576.21
EU,78.41,93.17,74.67,0,657.43
NA,149.89,52.84,184.31,0,722.26
LatAm,275.11,75.21,102.15,0,1247.76
NA,129.84,63.57,49.91,0,726.16
EU,154.09,83.64,167.12,0,875.86
Asia,137.49,30.86,64.17,0,636.01
LatAm,109.07,29.77,50.08,0,546.03
NA,196.47,55.23,107.85,0,933.82
Asia,98.1,60.23,154.24,0,649.53
NA,270.3,83.11,17.76,1,1330.84
LatAm,28.39,34.15,104.74,0,357.94
NA,134.43,125.36,154.45,0,1023.65
NA,73.82,107.05,217.25,0,917.02
NA,137.38,22.79,230.3,0,631.51
Asia,249.37,,17.7,0,1006.08
LatAm,76.75,78.06,176.51,0,739.63
LatAm,61.12,130.21,61.34,1,847.06
Asia,185.5,97.05,125.06,0,928.08
Asia,20.11,111.04,155.3,1,790.29
Asia,149.9,79.99,33.84,0,859.36
EU,263.33,42.9,120.01,0,1131.85
NA,256.91,97.33,144.31,1,1302.88
NA,64.8,40.96,143.38,0,434.81
LatAm,,139.76,89.68,1,857.5
NA,168.56,91.5,168.09,1,936.57
EU,41.95,118.79,122.14,0,813.45
Asia,138.68,80.58,82.05,1,844.2
LatAm,192.29,88.68,185.87,0,967.23
LatAm,195.71,83.56,15.07,0,1020.86
NA,,64.81,176.66,0,830.51
LatAm,156.82,21.61,237.51,1,661.09
Asia,198.62,136.95,180.59,0,1206.89
LatAm,244.21,82.96,117.91,1,1225.33
Asia,131.27,59.52,93.15,1,750.52
EU,120.88,99.22,40.12,0,809.65
EU,49.35,132.02,54.23,0,801.89
Asia,58.17,48.36,63.02,0,426.33
NA,52.56,76.47,40.85,0,508.88
LatAm,225.21,18.25,116.33,0,910.38
NA,84.54,66.15,138.03,0,588.69
LatAm,75.07,24.82,188.73,0,502.17
EU,214.41,67.15,110.29,0,1040.36
EU,98.74,,40.27,0,676.92
EU,169.97,135.64,166.49,0,1146.69
LatAm,91.96,43.73,84.82,0,516.11
EU,51.08,91.93,141.88,0,524.97
EU,171.23,17.99,78.06,1,722.98
EU,164.75,91.2,140.23,0,948.13
EU,101.88,37.46,70.44,1,555.28
NA,143.76,142.68,75.59,0,1012.87
EU,115.39,79.28,88.88,0,738.75
EU,259.97,69.25,19.26,0,1214.25
NA,110.8,80.63,121.26,0,727.35
NA,241.51,83.04,116.73,0,1197.62
LatAm,132.77,16.73,103.92,0,567.69
Asia,174.26,76.86,100.39,0,925.94
EU,29.86,143.7,230.99,1,1057.59
EU,190.85,67.41,217.7,0,890.38
EU,148.62,101.47,70.95,0,837.95
LatAm,198.72,55.26,198.35,1,852.63
EU,200.35,87.62,51.55,0,1055.11
Asia,115.17,77.2,175.61,0,772.02
NA,172.9,63.51,168.24,1,808.28
LatAm,152.51,41.84,32.73,0,725.76
NA,124.09,101.44,205.11,0,954.78
EU,,20.67,25.33,0,371.58
EU,162.1,54.62,96.28,0,805.88
EU,181.52,64.24,85.53,1,725.1
Asia,192.6,47.9,122.77,0,693.4
Asia,104.56,68.6,209.18,1,789.27
LatAm,72.56,100.51,,0,897.74
NA,72.03,79.17,77.2,0,614.36
EU,89.23,71.0,,1,693.74
EU,215.39,59.12,36.94,0,1037.17
EU,93.33,149.0,127.16,0,1047.13
EU,282.87,61.06,129.72,0,1257.01
Asia,,18.31,97.72,1,725.49
NA,155.54,125.2,,0,961.91
NA,149.3,138.15,238.63,0,1189.56
LatAm,86.42,74.61,26.49,0,611.35
Asia,187.37,64.8,63.08,0,929.38
EU,131.64,42.02,126.71,0,667.55
NA,279.96,54.44,52.65,1,1241.3
NA,209.76,24.61,34.5,1,881.32
Asia,161.93,41.73,44.32,0,760.85
LatAm,219.71,70.71,36.68,0,1057.8
LatAm,79.96,84.88,86.68,0,646.39
EU,61.25,109.52,115.83,0,788.4
LatAm,269.02,11.73,32.27,0,1037.94
NA,99.88,29.18,145.59,0,490.2
LatAm,201.08,63.01,94.2,0,972.29
EU,154.92,65.11,183.18,1,816.86
NA,903.2644387107895,15.68,29.27,0,564.93
LatAm,136.16,61.9,180.43,0,723.47
LatAm,,99.28,72.54,0,824.43
Asia,162.09,24.65,246.55,0,690.96
EU,114.71,37.06,124.78,0,588.35
LatAm,284.17,64.87,46.02,0,1259.66
Asia,78.53,36.88,,0,521.02
NA,191.61,76.66,59.92,0,960.34
Asia,53.82,57.05,92.2,0,421.98
Asia,177.0,31.44,100.58,0,567.66
LatAm,82.45,80.55,217.23,1,808.96
LatAm,180.77,36.61,223.13,1,756.49
LatAm,128.56,94.05,93.1,0,822.91
Asia,53.86,94.32,213.64,0,829.01
NA,,75.19,24.71,0,756.97
EU,124.43,73.75,30.48,0,748.86
